Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
V1298 Tau,8.24958,26.7,5.59,0.84,968.0,146.0,10.116,4962.28,1.1,1.34,0.023,
V1298 Tau,12.4032,33.6,6.41,0.701,845.0,85.0,10.116,4962.28,1.1,1.34,0.023,
V1298 Tau,60.0,57.0,8.74,0.469,492.0,10.0,10.116,4962.28,1.1,1.34,0.023,
LP 791-18,0.948005,1.46,1.12,5.71,650.0,21.5,16.9,2960.0,0.14,0.17,0.5,
LP 791-18,4.989963,5.95,2.31,2.65,370.0,2.35,16.9,2960.0,0.14,0.17,0.5,
WASP-178,3.3448285,527.5978,20.288,0.37,2470.0,5550.0,9.912,9360.0,2.07,1.67,0.43,
HD 95338,55.087,42.44,3.89,3.98,385.0,7.42,8.611,5212.0,0.83,0.87,5.08,
TOI-700,9.97702,1.11,1.037,5.47,417.0,5.0,13.072000000000001,3461.0,0.41,0.42,1.5,
TOI-700,16.05111,7.51,2.65,2.22,356.0,2.66,13.072000000000001,3461.0,0.41,0.42,1.5,
TOI-700,37.42475,1.57,1.1440000000000001,5.76,269.0,0.852,13.072000000000001,3461.0,0.41,0.42,1.5,0.93
TOI-1899,29.02,209.7678,12.89,0.54,362.0,2.9,13.555,3841.0,0.63,0.61,7.4,
HIP 65 A,0.9809734,1021.1877900000001,22.754,0.48,1411.0,661.0,11.13,4590.0,0.78,0.72,4.1,
TOI-157,2.0845435,375.0394,14.415,0.686,1588.0,1062.0,12.73,5404.0,0.95,1.17,12.82,
TOI-169,2.2554477,251.40353,12.173,0.76,1715.0,1443.0,12.36,5880.0,1.15,1.29,4.7,
TOI-1728,3.49151,26.78,5.05,1.14,767.0,57.78,12.4,3980.0,0.65,0.62,7.1,
HD 332231,18.71204,77.55051999999999,9.718,0.464,876.0,98.09,8.56,6089.0,1.13,1.28,4.3,
L 98-59,2.2531,1.01,0.8,12.7,610.0,23.9,11.685,3412.0,0.31,0.31,1.0,
L 98-59,3.6904,2.42,1.35,5.4,517.0,12.4,11.685,3412.0,0.31,0.31,1.0,
L 98-59,7.4512,2.31,1.57,3.3,409.0,4.85,11.685,3412.0,0.31,0.31,1.0,
Kepler-1661,175.06,17.0,3.87,1.6,243.0,0.88,14.193,5100.0,0.84,0.76,2.0,
TOI-132,2.1097019,22.4,3.42,3.08,1395.0,860.0,11.321,5397.0,0.97,0.9,6.34,
KELT-23 A,2.255251,298.12453999999997,14.83,0.503,1561.0,991.183,10.253,5899.0,0.94,1.0,6.4,
K2-315,3.1443189,0.809,0.95,5.18,460.0,7.45,17.67,3300.0,0.17,0.2,1.0,
HATS-37 A,4.3315366,31.46517,6.792999999999999,0.55,1085.0,229.7,12.265999999999998,5326.0,0.84,0.88,11.46,
HATS-38,4.375021,23.51942,6.882000000000001,0.403,1294.0,464.7,12.411,5732.0,0.89,1.1,11.89,
HATS-59,5.416081,256.17098,12.620999999999999,0.7,1128.0,269.0,13.950999999999999,5670.0,1.04,1.04,4.3,
HATS-59,1422.0,4036.441,12.3,11.9,176.0,0.159,13.950999999999999,5670.0,1.04,1.04,4.3,
V1298 Tau,24.1396,74.9,10.27,0.38,677.0,35.0,10.116,4962.28,1.1,1.34,0.023,
TOI-125,19.98,13.6,2.93,2.98,638.0,26.7,10.892000000000001,5320.0,0.86,0.85,6.8,
