Host Name,Orbital Period (days),Planet Mass [Earth mass],Planet Radius [Earth radii],Planet Density (g/cm**3),Planet Equilibrium Temperature [K],Insolation Flux [Earth flux],Optical Magnitude [mag],Effective Temperature [K],Stellar Mass [Solar mass],Stellar Radius [Solar radii],Stellar Age [Gyr],Earth Similarity Index (ESI)
HD 219134,6.76458,4.36,1.511,6.95,782.0,62.1,5.57,4699.0,0.81,0.78,11.0,
K2-27,6.771315,30.9,4.48,1.87,902.0,116.0,12.64,5248.0,0.87,0.89,10.3,
K2-24,20.88977,19.0,5.4,0.64,709.0,60.1,11.07,5625.0,1.07,1.16,5.1,
K2-24,42.3391,15.4,7.5,0.2,560.0,23.4,11.07,5625.0,1.07,1.16,5.1,
Kepler-283,11.008151,5.18,2.13,2.95,651.0,16.26,15.875,4351.0,0.63,0.57,3.09,
Kepler-296,10.864384,3.22,1.61,3.0,495.0,6.5,15.901,3740.0,0.5,0.48,4.2,
Kepler-296,5.8416366,4.66,2.0,1.2,606.0,14.8,15.901,3740.0,0.5,0.48,4.2,
Kepler-296,19.850291,5.02,2.09,1.9,403.0,2.9,15.901,3740.0,0.5,0.48,4.2,
Kepler-296,34.14211,2.96,1.53,4.1,337.0,1.41,15.901,3740.0,0.5,0.48,4.2,0.8
Kepler-296,63.33627,3.89,1.8,3.2,274.0,0.62,15.901,3740.0,0.5,0.48,4.2,0.75
Kepler-303,1.937055,0.64,0.89,4.99,790.0,145.436,14.395999999999999,3944.0,0.52,0.48,3.31,
Kepler-309,5.923653,3.05,1.56,4.41,529.0,99.493,15.126,4713.0,0.79,0.72,3.02,
Kepler-309,105.356383,6.85,2.51,2.38,202.0,2.142,15.126,4713.0,0.79,0.72,3.02,
Kepler-249,3.306539,1.32,1.09,5.6,562.0,24.26,15.23,3568.0,0.4,0.48,3.09,
Kepler-249,7.113702,2.89,1.51,4.61,435.0,12.529,15.23,3568.0,0.4,0.48,3.09,
Kepler-249,15.368459,3.09,1.57,4.39,336.0,4.474,15.23,3568.0,0.4,0.48,3.09,
Kepler-252,10.848463,5.27,2.15,2.91,501.0,20.507,15.029000000000002,4208.0,0.7,0.55,3.47,
Kepler-267,3.353728,37.9,1.98,26.8,617.0,45.843,15.469000000000001,4258.0,0.56,0.56,3.31,
Kepler-412,1.7208604,299.07802999999996,15.030999999999999,0.52,1850.0,2144.307,13.73,5750.0,1.17,1.29,5.37,
Kepler-421,704.1984,16.1,4.16,1.23,185.0,0.234,13.347999999999999,5308.0,0.79,0.76,4.0,
Kepler-423,2.6843285,189.101,13.360999999999999,0.459,1605.0,649.148,14.28,5560.0,0.85,0.95,11.0,
Kepler-425,3.79701816,79.45,10.962,0.27,1070.0,229.036,14.97,5170.0,0.93,0.86,5.0,
Kepler-426,3.21751883,108.06,12.22,0.26,1300.0,410.723,15.073,5725.0,0.91,0.92,6.0,
Kepler-427,10.290994,92.17,13.79,0.16,1100.0,208.721,14.42,5800.0,0.96,1.35,7.0,
Kepler-428,3.52563254,403.63,12.11,1.02,1070.0,195.088,15.405,5150.0,0.87,0.8,5.0,
Kepler-430,35.968,10.6,3.25,1.7,667.0,40.844,13.814,5884.0,1.17,1.49,5.13,
Kepler-430,110.979,3.71,1.75,3.8,458.0,9.096,13.814,5884.0,1.17,1.49,5.13,
Kepler-431,6.803,0.37,0.764,4.56,1032.0,577.545,11.929,6004.0,1.07,1.09,4.27,
Kepler-431,8.703,0.229,0.6679999999999999,4.22,951.0,415.545,11.929,6004.0,1.07,1.09,4.27,
Kepler-431,11.922,1.41,1.11,5.67,856.0,272.838,11.929,6004.0,1.07,1.09,4.27,
Kepler-433,5.33408384,896.24,16.25,1.13,1776.0,1682.66,14.415999999999999,6360.0,1.46,2.26,2.67,
Kepler-434,12.8747099,908.96,12.67,2.4,1000.0,158.285,14.5,5977.0,1.2,1.38,4.0,
Kepler-435,8.6001536,266.97,22.31,0.131,1729.0,677.917,13.604000000000001,6161.0,1.54,3.21,2.25,
Kepler-395,7.054346,1.08,1.03,5.43,576.0,17.8,15.958,4262.0,0.58,0.56,1.6,
Kepler-395,34.989262,2.3,1.32,5.5,341.0,2.11,15.958,4262.0,0.58,0.56,1.6,
WASP-75,2.484193,340.06,14.235,0.69,1710.0,1657.0,11.45,6100.0,1.14,1.26,3.5,
Kepler-452,384.843,3.29,1.63,4.17,265.0,1.1,13.405,5757.0,1.04,1.11,6.0,0.83
HAT-P-56,2.79083,734.1873,16.926,0.75,1840.0,3515.0,10.908,6566.0,1.42,1.47,2.01,
Kepler-1455,49.276764,5.31,2.16,2.9,298.0,1.533,15.866,4075.0,0.62,0.6,4.17,
WASP-2,2.152175,295.89973,12.117,0.914,1311.0,492.0,11.88,5180.0,0.9,0.87,8.2,
WASP-44,2.423804,276.5121,12.33,0.811,1337.0,533.0,12.9,5420.0,0.94,0.91,10.3,
WASP-45,3.126089,306.38812,10.604000000000001,1.418,1153.0,294.0,12.0,5150.0,0.85,0.85,12.7,
WASP-47,4.1591289,363.1,12.63,0.993,1275.0,534.0,11.9,5552.0,1.04,1.14,6.5,
Kepler-1638,259.33683,4.16,1.87,3.5,304.0,2.76,14.748,5710.0,0.97,0.95,4.37,0.76
K2-39,4.60543,28.6047,6.277,0.5,1670.0,1356.0,10.83,4881.0,0.66,2.97,3.09,
K2-36,1.422614,3.9,1.43,7.2,1224.0,529.0,11.8,4916.0,0.79,0.72,1.4,
K2-36,5.340888,7.8,3.2,1.3,788.0,90.0,11.8,4916.0,0.79,0.72,1.4,
K2-100,1.673833,12.6,3.59,1.5,1748.0,990.0,10.651,6168.0,1.23,1.22,0.79,
K2-60,3.00265,135.39558,7.656000000000001,1.7,1400.0,1212.0,12.789000000000001,5500.0,0.97,1.12,10.0,
Kepler-1512,20.35972599,1.76,1.18,5.89,322.0,1.6,13.263,4372.0,0.73,0.67,1.78,
Kepler-1514,217.83184,1678.1424,12.42,4.82,388.0,3.23,11.829,6145.0,1.2,1.29,2.9,
Kepler-1544,168.811174,3.82,1.78,3.72,269.0,0.833,14.039000000000001,4886.0,0.81,0.74,2.34,0.8
Kepler-1593,174.509835,10.2,3.17,1.76,260.0,0.889,15.884,4995.0,0.81,0.77,3.63,
Kepler-1606,196.435224,4.94,2.07,3.06,324.0,1.29,15.106,5422.0,0.9,0.86,4.27,0.73
WASP-151,4.533471,98.5273,12.665999999999999,0.29,1290.0,460.0,12.795,5871.0,1.08,1.14,5.1,
WASP-153,3.332609,123.9537,17.374000000000002,0.15,1700.0,1400.0,12.8,5914.0,1.34,1.73,4.0,
WASP-156,3.836169,40.68224,5.7170000000000005,1.3,970.0,150.0,11.6,4910.0,0.84,0.76,6.4,
K2-108,4.733999,59.4,5.33,2.22,1360.0,762.0,12.33,5599.0,1.17,1.76,7.8,
TRAPPIST-1,6.099615,0.62,0.9179999999999999,4.4,251.0,0.662,18.8,2559.0,0.08,0.12,0.5,0.85
TRAPPIST-1,9.20669,0.68,1.045,3.3,219.0,0.382,18.8,2559.0,0.08,0.12,0.5,0.68
TRAPPIST-1,12.35294,1.34,1.127,5.2,199.0,0.258,18.8,2559.0,0.08,0.12,0.5,0.58
TRAPPIST-1,18.767,0.331,0.752,3.96,173.0,0.165,18.8,2559.0,0.08,0.12,0.5,
LHS 1140,24.736959,6.98,1.7269999999999999,7.5,235.0,0.503,14.18,3216.0,0.18,0.21,5.0,0.7
